               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042513,            0.049658,            0.013228,             0.93261,             0.67668,             0.72826,              0.5641,            0.022146,            0.035278,           0.0048479,            0.070015,           0.0033317,           0.0033317
                   1,            0.028417,            0.036817,           0.0042489,             0.94137,             0.93466,             0.96974,             0.81501,            0.017635,            0.030334,           0.0024155,             0.03996,           0.0066101,           0.0066101
                   2,            0.025135,            0.034651,           0.0031769,             0.95281,             0.94832,             0.97828,             0.82834,            0.016742,            0.029572,            0.001807,           0.0098496,           0.0098334,           0.0098334
                   3,            0.021311,            0.032488,           0.0025592,             0.95474,             0.96812,             0.98796,             0.85111,            0.015577,            0.027578,           0.0012397,           0.0097525,           0.0097525,           0.0097525
                   4,            0.019684,            0.030738,           0.0019787,             0.96924,             0.97268,             0.99005,             0.86732,            0.014883,            0.026255,           0.0008925,           0.0097525,           0.0097525,           0.0097525
                   5,            0.018886,             0.02982,           0.0017307,             0.97524,             0.97471,             0.99178,             0.87364,            0.014504,            0.025754,          0.00078661,             0.00967,             0.00967,             0.00967
                   6,            0.018374,            0.029276,           0.0015719,             0.97449,             0.97901,             0.99288,             0.88096,            0.014133,            0.025009,           0.0006863,           0.0095875,           0.0095875,           0.0095875
                   7,            0.018143,            0.028837,           0.0014631,             0.97888,             0.97615,             0.99288,             0.88503,            0.013896,            0.024725,           0.0006232,            0.009505,            0.009505,            0.009505
                   8,            0.017843,            0.028534,           0.0014084,             0.97722,             0.98205,             0.99332,             0.89079,            0.013688,            0.024301,          0.00059226,           0.0094225,           0.0094225,           0.0094225
                   9,            0.017688,            0.028335,           0.0013646,             0.97965,             0.98225,             0.99362,             0.89314,            0.013536,            0.024043,          0.00056661,             0.00934,             0.00934,             0.00934
                  10,            0.017431,            0.027903,           0.0013107,             0.97913,             0.98133,             0.99369,             0.89496,            0.013397,            0.023765,          0.00053855,           0.0092575,           0.0092575,           0.0092575
